Bolge,Strat,Ratio,N_train,N_feat,AUC,F1,Rec,Prec,Brier,Score
MED,S6_Full,1:4,29740,34,0.764115392892164,0.3201704079960675,0.4257080610021787,0.25656512605042014,0.10443650712078634,0.5865373989337255
MED,S6_Full,1:6,39779,34,0.753173588434592,0.3098063710181137,0.43224400871459695,0.2414212703820881,0.0976460805611593,0.5758267014680007
CON,S1_Tip1,1:1,10914,34,0.6733641694579194,0.25265099124020285,0.6342592592592593,0.1577432354634427,0.5310433463186405,0.5050788981708328
CON,S1_Tip1,1:2,16017,34,0.6618496501309001,0.2453077258838935,0.6504629629629629,0.1511565357719204,0.36397098017588236,0.49523288043209746
CON,S1_Tip1,1:3,16017,34,0.6618496501309001,0.2453077258838935,0.6504629629629629,0.1511565357719204,0.36397098017588236,0.49523288043209746
CON,S1_Tip1,1:4,16017,34,0.6618496501309001,0.2453077258838935,0.6504629629629629,0.1511565357719204,0.36397098017588236,0.49523288043209746
CON,S1_Tip1,1:6,16017,34,0.6618496501309001,0.2453077258838935,0.6504629629629629,0.1511565357719204,0.36397098017588236,0.49523288043209746
CON,S2_Mixed,1:1,10914,34,0.6837092501155001,0.24493731918997108,0.5879629629629629,0.15468940316686966,0.24927888288651803,0.5082004777452885
CON,S2_Mixed,1:2,16371,34,0.7043073722761222,0.24850657108721624,0.7222222222222222,0.15007215007215008,0.1684874862427262,0.5219870518005598
CON,S2_Mixed,1:3,21828,34,0.7020190262377762,0.25424506654428636,0.6412037037037037,0.15855752718946767,0.14241754480483856,0.5229094423603803
CON,S2_Mixed,1:4,25618,34,0.7012914356664356,0.25518763796909494,0.6689814814814815,0.15766503000545554,0.1441420851282877,0.5228499165874994
CON,S2_Mixed,1:6,25618,34,0.696918071918072,0.24373379429559205,0.6527777777777778,0.14984059511158343,0.1321875511604567,0.5156443608690799
CON,S3_Stratified,1:1,10914,34,0.6927426224301224,0.2695289206917114,0.5231481481481481,0.18152610441767067,0.2550770770990793,0.523457141734758
CON,S3_Stratified,1:2,16371,34,0.7140433702933703,0.2761849034523113,0.5462962962962963,0.18480814408770557,0.1481354598431225,0.5388999835569467
CON,S3_Stratified,1:3,21828,34,0.7016571860321861,0.248103186646434,0.7569444444444444,0.1483666061705989,0.11500684289589452,0.5202355862778852
CON,S3_Stratified,1:4,27285,34,0.7099518388580889,0.2624555160142349,0.6828703703703703,0.16244493392070486,0.10485841832654283,0.5309533097205473
CON,S3_Stratified,1:6,33803,34,0.7060867959305459,0.2718922229026332,0.5138888888888888,0.18484596169858453,0.09772414003323852,0.5324089667193808
CON,S4_HighFWI,1:1,10914,34,0.6143159385346886,0.18869644484958978,0.4791666666666667,0.11748013620885357,0.2734306997601268,0.44406814106064907
