number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
34,0.8166246852444975,2026-04-12 23:14:47.337050,2026-04-12 23:14:48.359024,0 days 00:00:01.021974,0.7850115304067444,0.19225117429339678,0.015485357012909016,8,27,778,0.6858468329621474,0.8323911992498971,0.7084922074756872,COMPLETE
35,0.8071075641436589,2026-04-12 23:14:48.359024,2026-04-12 23:14:49.331891,0 days 00:00:00.972867,0.6208100239872824,0.7043486031057593,0.0115580612422431,3,29,361,1.1346501472141683,1.4221175013862175,0.8003509664827706,COMPLETE
36,0.8184507509121915,2026-04-12 23:14:49.333896,2026-04-12 23:14:49.866544,0 days 00:00:00.532648,0.6741233436292002,0.9130542747148988,0.08177559850297361,5,26,976,1.2639967557133844,1.6055671739176405,0.7690528474304236,COMPLETE
37,0.8172865867252892,2026-04-12 23:14:49.866544,2026-04-12 23:14:50.996246,0 days 00:00:01.129702,0.6038237859566361,0.8117270721944172,0.02616552725724533,4,16,627,1.46633068031937,0.7791487702535869,0.625796303597987,COMPLETE
38,0.81197896554074,2026-04-12 23:14:50.996246,2026-04-12 23:14:51.983253,0 days 00:00:00.987007,0.7429031061412911,0.7577271289780257,0.021747602498622728,6,19,530,0.5919126547522657,0.501138197795145,0.8506047703138333,COMPLETE
39,0.8188022086098092,2026-04-12 23:14:51.983253,2026-04-12 23:14:54.023169,0 days 00:00:02.039916,0.6304293417925426,0.6868018536157066,0.0126001091102386,5,11,756,1.6281088786027293,3.0008623817605335,0.5485378859389886,COMPLETE
40,0.8176881024313047,2026-04-12 23:14:54.023169,2026-04-12 23:14:54.650787,0 days 00:00:00.627618,0.4934332067819038,0.6319012341216412,0.06589788790141374,3,24,1497,0.9546793898510227,1.2766115974837557,0.7409728412539538,COMPLETE
41,0.8188823434887992,2026-04-12 23:14:54.650787,2026-04-12 23:14:55.348284,0 days 00:00:00.697497,0.5766908285125967,0.6721989414908037,0.03789976138888611,4,30,698,1.1994874472440011,1.8659966765578657,0.7775352543850991,COMPLETE
42,0.8185954564154595,2026-04-12 23:14:55.348284,2026-04-12 23:14:56.292589,0 days 00:00:00.944305,0.7019668151215637,0.6030450757166184,0.04006126676733979,4,29,855,1.1304253994207938,2.37321767627872,0.8110314688235121,COMPLETE
43,0.8170158948899607,2026-04-12 23:14:56.292589,2026-04-12 23:14:58.110346,0 days 00:00:01.817757,0.5148643547909841,0.5209579953143055,0.0184012742262216,4,29,613,1.2670993051391353,0.9224118840548319,0.8693119859911316,COMPLETE
44,0.8166162721338424,2026-04-12 23:14:58.110346,2026-04-12 23:14:58.903067,0 days 00:00:00.792721,0.5577303802655862,0.8334890113165985,0.028116134251044835,5,27,717,1.0141243167320753,0.7660859269176091,0.703395201659854,COMPLETE
45,0.8187433168352234,2026-04-12 23:14:58.903067,2026-04-12 23:14:59.833000,0 days 00:00:00.929933,0.6807571947062049,0.44057174563809337,0.0361998334959831,3,30,1240,0.8220697062347804,1.26177119487601,0.7808393690669156,COMPLETE
46,0.8210358894887436,2026-04-12 23:14:59.833000,2026-04-12 23:15:00.284970,0 days 00:00:00.451970,0.5981156834348778,0.7661808032594728,0.16455941226269194,4,22,424,1.4847013357633685,2.2100891054650904,0.7446441716643857,COMPLETE
47,0.8188207174532504,2026-04-12 23:15:00.284970,2026-04-12 23:15:00.860856,0 days 00:00:00.575886,0.6001892818037072,0.7624081612295414,0.16034018015970705,3,22,425,1.9117817417604575,2.7337384495644184,0.7442527830553936,COMPLETE
